,number,name,group,subtopic,item_stem,responses
222,Q242,Democracy: Religious authorities interpret the laws,Democracy,Religious authorities interpret the laws,"Please tell me for each of the following things how essential you think it is as a 
characteristic of democracy. Use this scale where 1 means “not at all an essential 
characteristic of democracy” and 10 means it definitely is “an essential characteristic 
of democr acy. - Religious authorities interpret the laws","['0.- It is against democracy', '1.- Not an essential characteristic of democracy', '2.- 2', '3.- 3', '4.- 4', '5.- 5', '6.- 6', '7.- 7', '8.- 8', '9.- 9', '10.- An essential characteristic of democracy', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
223,Q243,Democracy: People choose their leaders in free elections,Democracy,People choose their leaders in free elections,"Please tell me for each of the following things how essential you think it is as a 
characteristic of democracy. Use this scale where 1 means “not at all an essential 
characteristic of democracy” and 10 means it definitely is “an essential characteristic 
of democracy. - People choose their leaders in free elections","['0.- It is against democracy', '1.- Not an essential characteristic of democracy', '2.- 2', '3.- 3', '4.- 4', '5.- 5', '6.- 6', '7.- 7', '8.- 8', '9.- 9', '10.- An essential characteristic of democracy', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
224,Q244,Democracy: People receive state aid for unemployment,Democracy,People receive state aid for unemployment,"Please tell me for each of the following things how essential you think it is as a 
characteristic of democracy. Use this scale where 1 means “not at all an essential 
characteristic of democracy” and 10 means it definitely is “an essential characteristic 
of democracy. - People receive state aid for unemployment","['0.- It is against democracy', '1.- Not an essential characteristic of democracy', '2.- 2', '3.- 3', '4.- 4', '5.- 5', '6.- 6', '7.- 7', '8.- 8', '9.- 9', '10.- An essential characteristic of democracy', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
225,Q245,Democracy: The army takes over when government is incompetent,Democracy,The army takes over when government is incompetent,"Please tell me for each of the following things how essential you think it is as a 
characteristic of democracy. Use this scale where 1 means “not at all an essential 
characteristic of democracy” and 10 means it definitely is “an essential characteristic 
of democracy. - The army takes over when government is incompetent","['0.- It is against democracy', '1.- Not an essential characteristic of democracy', '2.- 2', '3.- 3', '4.- 4', '5.- 5', '6.- 6', '7.- 7', '8.- 8', '9.- 9', '10.- An essential characteristic of democracy', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
226,Q246,Democracy: Civil rights protect people’s liberty against oppression,Democracy,Civil rights protect people’s liberty against oppression,"Please tell me for each of the following things how essential you think it is as a 
characteristic of democracy. Use this scale where 1 means “not at all an essential 
characteristic of democracy” and 10 means it definitely is “an essential characteristic 
of democracy. - Civil rights protect people’s liberty from state oppression","['0.- It is against democracy', '1.- Not an essential characteristic of democracy', '2.- 2', '3.- 3', '4.- 4', '5.- 5', '6.- 6', '7.- 7', '8.- 8', '9.- 9', '10.- An essential characteristic of democracy', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
227,Q247,Democracy: The state makes people´s incomes equal,Democracy,The state makes people´s incomes equal,"Please tell me for each of the following things how essential you think it is as a 
characteristic of democracy. Use this scale where 1 means “not at all an essential 
characteristic of democracy” and 10 means it definitely is “an essential characteristic 
of democracy. - The state makes people´s incomes equal","['0.- It is against democracy', '1.- Not an essential characteristic of democracy', '2.- 2', '3.- 3', '4.- 4', '5.- 5', '6.- 6', '7.- 7', '8.- 8', '9.- 9', '10.- An essential characteristic of democracy', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
228,Q248,Democracy: People obey their rulers,Democracy,People obey their rulers,"Please tell me for each of the following things how essential you think it is as a 
characteristic of democracy. Use this scale where 1 means “not at all an essential 
characteristic of democracy” and 10 means it definitely is “an essential characteristic 
of democracy. - People obey their rulers","['0.- It is against democracy', '1.- Not an essential characteristic of democracy', '2.- 2', '3.- 3', '4.- 4', '5.- 5', '6.- 6', '7.- 7', '8.- 8', '9.- 9', '10.- An essential characteristic of democracy', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
229,Q249,Democracy: Women have the same rights as men,Democracy,Women have the same rights as men,"Please tell me for each of the following things how essential you think it is as a 
characteristic of democracy. Use this scale where 1 means “not at all an essential 
characteristic of democracy” and 10 means it definitely is “an essential characteristic 
of democracy. - Women have the same rights as men","['0.- It is against democracy', '1.- Not an essential characteristic of democracy', '2.- 2', '3.- 3', '4.- 4', '5.- 5', '6.- 6', '7.- 7', '8.- 8', '9.- 9', '10.- An essential characteristic of democracy', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
230,Q250,Importance of democracy,,Importance of democracy,"How important is it for you to live in a country that is governed democratically? On this 
scale where 1 means it is “not at all important” and 10 means “absolutely important” 
what position would you choose?","['1.- Not at all important', '2.- 2', '3.- 3', '4.- 4', '5.- 5', '6.- 6', '7.- 7', '8.- 8', '9.- 9', '10.- Absolutely important', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
231,Q251,How democratically is this country being governed today,,How democratically is this country being governed today,"And how democratically is this country being governed today?. Again using a scale from 
1 to 10, where 1 means that it is “not at all democratic” and 10 means that it is 
“completely democratic,” what position would you choose?","['1.- Not at all democratic', '2.- 2', '3.- 3', '4.- 4', '5.- 5', '6.- 6', '7.- 7', '8.- 8', '9.- 9', '10.- Completely democratic', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
232,Q252,Satisfaction with the political system performance,,Satisfaction with the political system performance,"How satisfied are you with how the political system is functioning in your country 
these days? On the scale from 1 to 10 below, 1 means not satisfied at all and 10 means 
completely satisfied.","['1.- Not satisfied at all', '2.- 2', '3.- 3', '4.- 4', '5.- 5', '6.- 6', '7.- 7', '8.- 8', '9.- 9', '10.- Completely satisfied', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Unknown']"
233,Q253,Respect for individual human rights nowadays,,Respect for individual human rights nowadays,How much respect is there for individual human rights nowadays in this country?,"['1.- A great deal of respect', '2.- Fairly much  respect', '3.- Not much respect', '4.- No respect at all', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
234,Q254,National pride,,National pride,How proud are you to be of nationality of this country?,"['1.- Very proud', '2.- Quite proud', '3.- Not very proud', '4.- Not at all proud', '5.- I am not [nationality]', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
235,Q255,"Feel close to your village, town or city",Feel close to,"Feel close to your village, town or city","People have different views about themselves and how they relate to the world. Using
this card, would you tell me how close do you feel to…?  
Your village, town or city","['1.- Very close', '2.- Close', '3.- Not very close', '4.- Not close at all', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
236,Q256,"Feel close to your district, region",Feel close to,"Feel close to your district, region","People have different views about themselves and how they relate to the world. Using
this card, would you tell me how close do you feel to…?
Your county, region, district","['1.- Very close', '2.- Close', '3.- Not very close', '4.- Not close at all', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
237,Q257,Feel close to your country,Feel close to,Feel close to your country,"People have different views about themselves and how they relate to the world. Using
this card, would you tell me how close do you feel to…?
Your country","['1.- Very close', '2.- Close', '3.- Not very close', '4.- Not close at all', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
238,Q258,Feel close to your continent,Feel close to,Feel close to your continent,"People have different views about themselves and how they relate to the world. Using
this card, would you tell me how close do you feel to…?  
Your continent; e.g. Europe, Asia etc.","['1.- Very close', '2.- Close', '3.- Not very close', '4.- Not close at all', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
239,Q259,Feel close to the world,Feel close to,Feel close to the world,"People have different views about themselves and how they relate to the world. Using
this card, would you tell me how close do you feel to…?
The world","['1.- Very close', '2.- Close', '3.- Not very close', '4.- Not close at all', '-1-.- Don´t know', '-2-.- No answer', '-4-.- Not asked', '-5-.- Missing; Not available']"
